bigram,count
배우들의 연기가,1362
배우들 연기가,885
왕과 사는,540
재밌게 봤습니다,530
배우들 연기,508
사는 남자,481
연기가 좋았어요,419
재미있게 봤습니다,412
재밌게 봤어요,401
유해진 배우님,371
박지훈 배우의,327
유해진 배우의,326
박지훈 배우,292
연기가 좋았습니다,291
배우들의 연기,288
유해진 박지훈,281
재미있게 봤어요,279
유해진 연기,257
배우들 연기도,237
유해진 배우,236
박지훈 연기,225
박지훈 배우님,222
여운이 남는,199
배우의 연기가,198
장항준 감독님,198
보기 좋은,196
결말을 알고,196
배우분들 연기가,195
웃다가 울다가,190
배우들의 연기에,186
배우 연기가,185
연기를 잘해서,171
연기가 좋았고,169
여운이 많이,167
웃고 울고,165
박지훈 유해진,162
배우 연기,160
역사적 사실을,159
배우들의 연기력이,159
배우들의 연기와,158
다시 한번,155
연기가 좋아서,154
단종에 대해,152
유해진 배우님의,150
배우들의 연기도,150
시간가는줄 모르고,147
시간 가는줄,142
배우분들 연기,141
몰입해서 봤어요,138
모든 배우들의,138
유해진 연기가,137
배우님들 연기,135
재미있게 보았습니다,132
오랜만에 좋은,131
역사에 대해,129
연기 좋았어요,128
배우들이 연기를,125
시간 가는,124
연기가 좋아요,119
역사를 다시,119
가족과 함께,118
몰입해서 봤습니다,114
연기도 좋았고,112
배우들 연기에,110
오랜만에 극장에서,109
유해진의 연기가,109
역시 유해진,107
가는줄 모르고,106
배우들의 연기는,106
배우분들의 연기가,106
연기 최고,105
배우님 연기,105
나도 모르게,104
유해진 유지태,102
연기도 좋고,101
알고 봐도,99
어린 나이에,98
연기 차력쇼,97
재밌게 잘봤습니다,97
단종의 이야기를,96
재미와 감동,94
배우님들 연기가,93
가는 모르고,92
배우들의 연기로,92
유해진님 연기,91
연기 좋았습니다,90
좋은 영화를,90
오랜만에 영화관에서,88
처음부터 끝까지,88
가족들과 함께,88
배우들 연기는,87
박지훈 연기가,86
유해진의 연기는,85
박지훈 배우님의,84
어린 단종의,84
역사를 알고,83
연기를 잘하셔서,83
감동도 있고,82
장항준 감독,82
모르고 봤어요,81
믿고보는 유해진,80
단종 안아,79
장항준 감독의,78
영화다운 영화를,77
웃다 울다,77
눈물이 주르륵,77
역사가 스포라,77
박지훈 유지태,77
함께 보기,76
가슴 아픈,76
오랜만에 영화다운,75
좋은 영화였습니다,75
슬픈 역사,75
단종에 대한,74
많이 남는,74
박수를 보냅니다,74
부모님 모시고,74
역사적 사실에,74
연기 잘하고,73
좋은 영화입니다,73
특히 유해진,73
연기가 좋았다,72
유해진 연기는,72
눈물 줄줄,71
몰입감 최고,71
아깝지 않은,70
여운이 오래,70
간만에 좋은,70
이미 알고,69
모르게 눈물이,69
재밌고 슬프고,69
여운이 길게,68
몰입감 있게,68
눈물 펑펑,67
특히 박지훈,67
유해진 배우가,67
유해진의 연기,66
있어서 좋았습니다,66
배우들의 연기력,65
재미있게 잘봤습니다,65
대해 다시,65
재미도 있고,65
박지훈 배우가,64
눈물이 줄줄,64
영화를 봤네요,64
역시 믿고보는,64
배우들 연기력이,63
단종의 눈빛이,63
눈물 콧물,63
유해진과 박지훈의,62
봐도 눈물이,62
단종과 엄흥도의,62
연기 잘해요,61
배우들의 열연이,61
영화를 통해,61
오랜만에 재밌게,61
재미와 감동이,60
역사가 스포지만,60
연기 덕분에,60
눈물이 나네요,60
배우님 연기가,59
연기 좋았고,59
많이 울었어요,59
재밌게 잘봤어요,59
울고 웃고,59
단종의 슬픈,58
박지훈의 연기가,58
연기 좋아요,58
단종의 삶이,58
남자 왕과,57
연기 스토리,57
역시 믿고,57
배우분들이 연기를,56
슬픈 역사를,56
유해진 배우는,56
박지훈 눈빛이,56
믿고 유해진,56
연기가 좋네요,56
연기가 돋보이는,56
눈물이 났어요,56
박지훈 눈빛,55
다들 연기를,55
여운이 남네요,55
남는 영화입니다,55
연기 잘하네요,54
재미 감동,54
울면서 봤어요,54
한명회 이놈,54
연기 모두,54
다들 연기,54
연기도 잘하고,54
모르고 봤습니다,53
오랜만에 재밌는,53
재밌게 보았습니다,53
알고 있었지만,52
마지막에 눈물이,52
연기가 미쳤어요,52
눈물이 멈추지,52
아는 내용이지만,52
배우들의 연기력에,52
만들어주셔서 감사합니다,51
연기가 아주,51
믿고보는 배우,51
말할 것도,51
배우 유해진,51
유해진 배우와,50
지루하지 않고,50
배우의 연기,50
눈빛 연기,50
연기 잘함,50
감동 모두,49
영화를 봤습니다,49
연기 연출,49
배우님들의 연기가,49
배우의 연기는,49
올해 최고의,48
감동을 주는,48
마음이 아팠어요,48
배우의 연기에,48
배우분들 연기도,48
슬퍼서 눈물이,48
단종의 마지막,47
