review_id,review_date,like_count,review_length,review
38172000,2026-03-04,0,23,실제 역사 이야기를 영화로 잘 풀었습니다.
38183216,2026-03-08,0,109,코메디 분위기가 적절하게 섞여 있어서 괜찮았습니다. 일단 이 영화는 지루할 틈이 없어서 좋아요. 쭉쭉 늘어지는 씬은 거의 없어요. 배우들 연기는 연출에 있어서 조금 더 발전이 있었으면 좋겠습니다.
38064406,2026-02-08,0,39,아진짜너무슬퍼요진짜박지훈사랑해위아원처하자진짜너무슬프다내인생영화1위등극함
38087248,2026-02-13,0,13,배우들 연기가 좋았어요!
38062235,2026-02-08,1,89,"감독의 연출이 남다른 영화 이었다.

배우의 연기도 영화 보는데 한 목 한거 같다.

중간 중간 에드리브도 보기 좋았다.

감독님 이번 영화는 대박 이에요..."
38134677,2026-02-22,1,22,내가 천만 번 보면 천만영화 되는 거지?
38203078,2026-03-15,0,51,"배우연기가 좋다는 게 장점이고, 연출은 그저그런편.
다만 내안의 백성이 깨어나는 느낌이었다."
38093842,2026-02-14,1,64,감동과 여운이 많이 남는 영화이고 덕분에 우리나라 역사에 대해 더 관심이 생기고 직접 찾아보게 되는 계기가 되었어요
38197420,2026-03-13,0,15,배우들의 연기가 훌륭했습니다
38200643,2026-03-14,1,23,배우분들의 연기가 너무 좋았고 잘 담아냈다
38111063,2026-02-17,1,26,마지막 한 장면을 보기위한 기가 막힌 영화였다.
38182878,2026-03-08,0,18,배우들의 멋진 연기와 스토리~!!
38181137,2026-03-07,1,20,호랑이 cg 빼곤 좋았던 무난한 영화
38104223,2026-02-16,1,12,감동적이고 재밌네요^^
38105664,2026-02-16,0,68,"결말을 알고 있기에.., 중반부터 몰아치는 슬픔. 그렇지만 배우들의 연기로 모든게 이해되는 먹먹함. 긴 여운. 추천*100"
38145949,2026-02-26,0,13,재미있게 잘 보았습니다!
38202326,2026-03-15,0,70,"결말을 아는 영화라 슬퍼서 보기 싫었는데 
천만이 훌쩍 넘길래 봤어요…
감동적이고 슬프고 ㅠㅠ 안타깝네요
영화는 재밌게 봤어요"
38069784,2026-02-09,0,43,"최근에 본 영화 중 가장 좋았어요~
아직 안보신 분들 계시면 추천하고 싶어요!"
38128638,2026-02-21,0,31,"눈물을 참을 수가 없었어요~
좋은 영화  잘~ 봤습니다."
38120232,2026-02-19,1,36,유해진배우 믿고 본 영화입니다~ 스토리도 슬프지만 감동적이었어요!
