review_date,sentiment_label,review_length,review
2026-02-10,좋았어요,50,역사적으로 있었던일이기에 더 가슴아프고  배우들의 연기때문에 더 몰입하며 볼수있었어요!!👍
2026-02-11,좋았어요,64,오랜만에 보는 사극입니다. 단종과 세조에 대한 역사적 사실을 계속 찾아 보게 되네요. 좋은 경험입니다. 감사합니다.
2026-02-08,좋았어요,26,유해진배우와 모든 배우들 연기가 너무 좋았어요~
2026-02-15,좋았어요,46,"역사를 다시한번 찾아보게 되고
단종에 대해서  다시금 생각해 보는 기회가 됭ㆍㅆ어요"
2026-02-09,좋았어요,64,"그저 이렇게라도 단종의 한을 풀 수만 있다면 그것만으로 만족할 수 있는 영화
존귀한 단종을 볼 수 있어서 좋았습니다"
2026-02-18,좋았어요,22,배우들의 연기도 좋아 몰입이 잘되엇습니다
2026-02-16,좋았어요,108,박지훈 배우는 그야말로 단종 그 자체입니다.진짜 눈빛부터 걸음 하나하나가 이홍위였습니다.엄흥도와 매화와의 관계와 사육신과 생육신과의 관계도 애절했습니다.영화 내내 웃음포인토와 연출도 최고였습니다
2026-02-08,좋았어요,17,보길 잘했어요 이런 영화 좋아요
2026-02-18,좋았어요,25,실화에 몰입되어서 단종 모습이 너무 가슴아팠다
2026-02-10,별로예요,12,소문난 잔치…………..
