trigram,count
왕과 사는 남자,462
유해진 배우 연기,221
배우 연기 좋았습니다,220
박지훈 배우 연기,121
배우 연기 좋아서,105
모든 배우 연기,105
배우 연기 좋아요,104
시간 가는줄 모르고,102
유해진 배우의 연기,102
시간 가는 모르고,87
박지훈 배우의 연기,76
여운 많이 남는,70
배우 연기 최고,59
나도 모르게 눈물,59
남자 왕과 사는,56
배우들이 연기 잘해서,56
유해진 배우님의 연기,56
유해진 박지훈 연기,55
사는 남자 왕과,55
유해진 박지훈 유지태,49
배우 연기도 좋고,49
배우 연기 좋네요,46
배우 연기 좋고,45
배우 연기 특히,43
함께 보기 좋은,41
오랜만에 영화다운 영화를,41
배우 연기 스토리,35
배우 연기 미쳤어요,35
말할 것도 없고,35
배우 연기 모두,34
박지훈 유해진 연기,34
오랜만에 좋은 영화를,33
배우 연기 최고입니다,32
결말을 알고 봐도,32
역사적 사실을 바탕으로,30
사는 남자 봤습니다,30
가족과 함께 보기,29
배우 연기 돋보이는,29
역사에 대해 다시,29
유해진 박지훈 배우,29
박지훈 배우 눈빛이,28
유해진 배우와 박지훈,28
배우 연기 차력쇼,28
여운 길게 남는,27
재미와 감동 모두,27
유해진 배우 박지훈,27
배우 연기 덕분에,27
배우 연기 좋습니다,27
배우분들 연기 좋았습니다,26
박지훈 배우의 눈빛이,26
배우 연기 영화를,26
여운 많이 남네요,25
특히 박지훈 배우,25
역사를 다시 한번,25
배우 연기 매우,25
유해진 배우 연기에,25
재미도 있고 감동도,24
유해진과 박지훈의 연기,24
보기 좋은 영화입니다,24
배우 연기 최고였어요,24
박지훈 배우의 눈빛,24
너무나 재미있게 봤습니다,24
믿고보는 배우 유해진,23
연기 말할 것도,23
여운 깊게 남는,23
배우 연기에 몰입해서,23
봤습니다 배우 연기,22
여운 많이 남아요,22
유해진 박지훈 배우의,22
모든 배우님들 연기,22
유해진 배우의 연기에,22
배우 박지훈 배우,22
박지훈 유해진 유지태,22
유해진 유지태 전미도,22
관객을 즐겁게 해주는,21
박지훈 배우 유해진,21
배우 연기 잘해요,21
배우 연기 최고였습니다,21
가족들과 보기 좋은,21
좋은 영화는 관객을,21
역사적 사실을 기반으로,21
가족끼리 보기 좋은,21
영화는 관객을 즐겁게,21
연기에 박수를 보냅니다,21
특히 유해진 배우,21
여운 남는 영화였습니다,21
역시 유해진 배우,21
연기 잘해서 몰입해서,21
여운 남는 영화입니다,21
즐겁게 해주는 영화이다,21
최고 최고 최고,20
배우 연기 훌륭합니다,20
대해 다시 한번,20
여운 오래 남는,20
역시 믿고보는 유해진,20
있고 감동도 있고,20
좋아요 좋아요 좋아요,20
배우 연기 몰입감을,20
배우 연기 미쳤습니다,20
